Id,satisfaction_v2,Gate location,Cleanliness
87814,satisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
94397,satisfied,Peu satisfait,Satisfait
56134,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
126543,satisfied,Satisfait,Tres satisfait
62383,satisfied,Satisfait,Satisfait
55688,dissatisfied,Pas du tout satisfait,Satisfait
84514,dissatisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
77609,satisfied,Peu satisfait,Tres satisfait
10619,dissatisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
46409,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
81508,satisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
68222,dissatisfied,Pas du tout satisfait,Pas du tout satisfait
23491,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
48272,dissatisfied,Satisfait,Satisfait
49731,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
80849,satisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
18810,dissatisfied,Satisfait,Tres satisfait
37572,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
89181,dissatisfied,Peu satisfait,Satisfait
16498,dissatisfied,Pas du tout satisfait,Pas du tout satisfait
97919,satisfied,Peu satisfait,Satisfait
69732,dissatisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
7608,dissatisfied,Satisfait,Tres satisfait
82996,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
39511,satisfied,Pas du tout satisfait,Tres satisfait
63706,satisfied,Pas du tout satisfait,Pas du tout satisfait
5511,satisfied,Satisfait,Peu satisfait
94005,satisfied,Tres satisfait,Satisfait
106355,satisfied,"Ni satisfait, ni insatisfait",Satisfait
97084,satisfied,Pas du tout satisfait,Satisfait
91110,satisfied,Tres satisfait,Satisfait
24772,dissatisfied,Pas du tout satisfait,Tres satisfait
98192,satisfied,Peu satisfait,Satisfait
63244,satisfied,Satisfait,Tres satisfait
95896,satisfied,Tres satisfait,Satisfait
55019,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
99454,dissatisfied,Satisfait,Satisfait
112668,satisfied,Peu satisfait,Satisfait
47346,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
122639,satisfied,Satisfait,Tres satisfait
15096,dissatisfied,Satisfait,Satisfait
67021,dissatisfied,Tres satisfait,"Ni satisfait, ni insatisfait"
120674,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
22048,satisfied,Tres satisfait,Tres satisfait
61433,satisfied,Pas du tout satisfait,Satisfait
127449,satisfied,Tres satisfait,Tres satisfait
22421,dissatisfied,Satisfait,Satisfait
3978,satisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
106713,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
95502,satisfied,Satisfait,Satisfait
41681,dissatisfied,Peu satisfait,Tres satisfait
104757,satisfied,Satisfait,"Ni satisfait, ni insatisfait"
74140,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
54477,dissatisfied,Satisfait,Satisfait
100626,satisfied,Tres satisfait,Satisfait
32510,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
63755,satisfied,Pas du tout satisfait,Satisfait
11349,satisfied,Peu satisfait,Satisfait
55050,dissatisfied,Satisfait,Satisfait
123215,satisfied,Satisfait,Tres satisfait
106909,dissatisfied,Peu satisfait,Satisfait
104672,satisfied,Pas du tout satisfait,Satisfait
14328,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
6401,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
97577,satisfied,Pas du tout satisfait,Satisfait
56632,satisfied,Satisfait,Pas du tout satisfait
4831,dissatisfied,Satisfait,Satisfait
9520,satisfied,Satisfait,Satisfait
100179,satisfied,"Ni satisfait, ni insatisfait",Satisfait
46670,dissatisfied,Peu satisfait,Satisfait
77769,dissatisfied,Pas du tout satisfait,Peu satisfait
98968,satisfied,"Ni satisfait, ni insatisfait",Satisfait
58779,dissatisfied,Peu satisfait,Pas du tout satisfait
51970,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
47758,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
49833,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
6015,dissatisfied,Pas du tout satisfait,Tres satisfait
74335,dissatisfied,Pas du tout satisfait,Satisfait
46554,dissatisfied,Peu satisfait,Pas du tout satisfait
77024,dissatisfied,Pas du tout satisfait,Satisfait
31348,dissatisfied,Satisfait,Tres satisfait
57127,satisfied,"Ni satisfait, ni insatisfait",Satisfait
128898,satisfied,Tres satisfait,Tres satisfait
6759,satisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
86091,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
32280,satisfied,Peu satisfait,Peu satisfait
43853,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
70810,satisfied,Satisfait,Peu satisfait
54605,dissatisfied,Satisfait,Tres satisfait
68618,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
40164,satisfied,Peu satisfait,Tres satisfait
106293,satisfied,Satisfait,Tres satisfait
86886,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
93625,satisfied,Satisfait,Satisfait
129166,satisfied,Tres satisfait,Tres satisfait
102306,satisfied,Satisfait,Satisfait
23172,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
91146,satisfied,"Ni satisfait, ni insatisfait",Satisfait
110531,satisfied,Pas du tout satisfait,Tres satisfait
25921,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
37741,dissatisfied,Satisfait,Tres satisfait
45513,dissatisfied,Tres satisfait,Satisfait
18017,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
41735,dissatisfied,Peu satisfait,Satisfait
100958,satisfied,Satisfait,Satisfait
93698,satisfied,Tres satisfait,Satisfait
104345,satisfied,Pas du tout satisfait,Satisfait
58732,satisfied,Pas du tout satisfait,Tres satisfait
103588,satisfied,"Ni satisfait, ni insatisfait",Satisfait
120372,satisfied,Satisfait,Tres satisfait
128089,satisfied,Pas du tout satisfait,Tres satisfait
100855,dissatisfied,Peu satisfait,Satisfait
41105,dissatisfied,Peu satisfait,Satisfait
83131,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
40079,satisfied,Pas du tout satisfait,Satisfait
4283,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
17355,satisfied,Pas du tout satisfait,Satisfait
25961,satisfied,Peu satisfait,Tres satisfait
73523,satisfied,Pas du tout satisfait,Peu satisfait
56978,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
109987,satisfied,Pas du tout satisfait,Pas du tout satisfait
78792,dissatisfied,Tres satisfait,Peu satisfait
78451,dissatisfied,Satisfait,Satisfait
19167,dissatisfied,Satisfait,Tres satisfait
86278,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
66277,dissatisfied,Pas du tout satisfait,Pas du tout satisfait
46655,dissatisfied,Peu satisfait,Tres satisfait
39269,satisfied,"Ni satisfait, ni insatisfait",Peu satisfait
475,satisfied,Satisfait,Satisfait
78978,dissatisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
120030,satisfied,Tres satisfait,Tres satisfait
59065,satisfied,Peu satisfait,Satisfait
63895,satisfied,Peu satisfait,Satisfait
122357,satisfied,Satisfait,Tres satisfait
75902,satisfied,Tres satisfait,Peu satisfait
59929,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
71273,dissatisfied,Tres satisfait,Peu satisfait
105308,satisfied,Peu satisfait,Satisfait
46892,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
117649,satisfied,Satisfait,Tres satisfait
88686,dissatisfied,Satisfait,Satisfait
54361,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
16971,dissatisfied,Pas du tout satisfait,Satisfait
122978,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
84845,satisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
102130,dissatisfied,Pas du tout satisfait,Satisfait
32096,dissatisfied,Peu satisfait,Pas du tout satisfait
61012,dissatisfied,Peu satisfait,Tres satisfait
82235,satisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
111393,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
5770,satisfied,"Ni satisfait, ni insatisfait",Peu satisfait
42051,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
101266,satisfied,"Ni satisfait, ni insatisfait",Satisfait
13523,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
110217,satisfied,Peu satisfait,Tres satisfait
81330,dissatisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
52410,dissatisfied,Pas du tout satisfait,Tres satisfait
49080,dissatisfied,Tres satisfait,Satisfait
78438,dissatisfied,Peu satisfait,Peu satisfait
60737,satisfied,Tres satisfait,Satisfait
47533,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
79041,dissatisfied,Tres satisfait,Satisfait
77962,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
17909,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
97387,satisfied,Pas du tout satisfait,Satisfait
7260,satisfied,Pas du tout satisfait,Peu satisfait
32769,satisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
83406,dissatisfied,Satisfait,Satisfait
30435,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
6049,satisfied,Pas du tout satisfait,Peu satisfait
25863,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
15062,dissatisfied,Satisfait,Satisfait
75583,satisfied,Pas du tout satisfait,Peu satisfait
22546,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
91518,satisfied,Pas du tout satisfait,Satisfait
25495,dissatisfied,Peu satisfait,Satisfait
117735,satisfied,Satisfait,Tres satisfait
34499,dissatisfied,Pas du tout satisfait,Satisfait
117525,satisfied,Satisfait,Tres satisfait
124076,satisfied,Peu satisfait,Tres satisfait
59414,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
123665,satisfied,Satisfait,Pas du tout satisfait
127149,satisfied,Pas du tout satisfait,Tres satisfait
21789,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
94631,satisfied,Pas du tout satisfait,Satisfait
53254,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
41793,dissatisfied,Peu satisfait,Tres satisfait
63897,satisfied,Peu satisfait,Satisfait
96087,satisfied,"Ni satisfait, ni insatisfait",Satisfait
121539,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
87969,satisfied,Peu satisfait,Tres satisfait
94424,dissatisfied,Satisfait,Satisfait
63891,satisfied,Peu satisfait,Peu satisfait
6556,dissatisfied,Peu satisfait,Tres satisfait
68645,dissatisfied,"Ni satisfait, ni insatisfait",Pas du tout satisfait
13925,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
20516,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
49199,dissatisfied,Tres satisfait,Satisfait
101268,satisfied,"Ni satisfait, ni insatisfait",Satisfait
31209,dissatisfied,Satisfait,Pas du tout satisfait
105614,satisfied,"Ni satisfait, ni insatisfait",Satisfait
9168,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
29979,satisfied,Peu satisfait,Tres satisfait
110852,satisfied,"Ni satisfait, ni insatisfait",Peu satisfait
108139,satisfied,Pas du tout satisfait,Satisfait
101450,dissatisfied,Tres satisfait,Satisfait
52594,dissatisfied,Pas du tout satisfait,Tres satisfait
2884,satisfied,Satisfait,Satisfait
25568,dissatisfied,Peu satisfait,Tres satisfait
70499,dissatisfied,Satisfait,Peu satisfait
41036,dissatisfied,Pas du tout satisfait,Satisfait
101744,satisfied,Satisfait,Satisfait
126934,satisfied,Pas du tout satisfait,Tres satisfait
33817,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
117892,satisfied,Satisfait,Tres satisfait
73862,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
122866,satisfied,Satisfait,Tres satisfait
31019,dissatisfied,Satisfait,Tres satisfait
80136,satisfied,Satisfait,Satisfait
55736,dissatisfied,Peu satisfait,Satisfait
87986,satisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
112753,satisfied,"Ni satisfait, ni insatisfait",Satisfait
10032,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
74157,satisfied,Peu satisfait,Peu satisfait
75147,dissatisfied,Tres satisfait,Peu satisfait
91448,satisfied,"Ni satisfait, ni insatisfait",Satisfait
103618,satisfied,Peu satisfait,Satisfait
22888,dissatisfied,Peu satisfait,Tres satisfait
128589,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
105371,satisfied,Satisfait,Satisfait
67601,dissatisfied,Peu satisfait,Pas du tout satisfait
59328,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
19097,satisfied,Satisfait,Tres satisfait
74465,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
27955,dissatisfied,Tres satisfait,Satisfait
97104,satisfied,"Ni satisfait, ni insatisfait",Satisfait
3366,dissatisfied,Pas du tout satisfait,Satisfait
111608,satisfied,Peu satisfait,Tres satisfait
56025,dissatisfied,Satisfait,Satisfait
6859,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
67568,dissatisfied,Peu satisfait,Satisfait
20076,satisfied,Pas du tout satisfait,Satisfait
49776,dissatisfied,Satisfait,Satisfait
49309,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
119861,satisfied,"Ni satisfait, ni insatisfait",Peu satisfait
117632,satisfied,Satisfait,Tres satisfait
36776,dissatisfied,Pas du tout satisfait,Peu satisfait
20303,satisfied,"Ni satisfait, ni insatisfait",Satisfait
103224,satisfied,Satisfait,Satisfait
102074,satisfied,"Ni satisfait, ni insatisfait",Satisfait
115248,satisfied,Tres satisfait,Tres satisfait
129837,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
79289,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
9953,satisfied,Satisfait,Satisfait
99564,satisfied,"Ni satisfait, ni insatisfait",Satisfait
109943,dissatisfied,Tres satisfait,Tres satisfait
87275,dissatisfied,Tres satisfait,Peu satisfait
121306,satisfied,Pas du tout satisfait,Tres satisfait
44973,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
61899,satisfied,Satisfait,Tres satisfait
21056,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
102953,satisfied,Tres satisfait,"Ni satisfait, ni insatisfait"
97401,satisfied,Peu satisfait,Satisfait
124705,satisfied,Tres satisfait,Satisfait
98690,dissatisfied,Peu satisfait,Satisfait
6946,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
9847,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
43652,dissatisfied,Satisfait,Satisfait
49349,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
45520,dissatisfied,Pas du tout satisfait,Peu satisfait
106323,dissatisfied,Tres satisfait,Satisfait
73496,dissatisfied,Pas du tout satisfait,Peu satisfait
121078,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
87011,dissatisfied,Tres satisfait,Satisfait
35080,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
30525,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
95953,satisfied,"Ni satisfait, ni insatisfait",Satisfait
14646,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
13951,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
89115,satisfied,Tres satisfait,Satisfait
19882,dissatisfied,Peu satisfait,Satisfait
96523,satisfied,Pas du tout satisfait,Satisfait
25218,satisfied,Pas du tout satisfait,Tres satisfait
69255,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
99728,satisfied,Tres satisfait,Satisfait
107544,satisfied,Tres satisfait,Satisfait
71395,dissatisfied,Satisfait,Peu satisfait
27227,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
42541,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
28339,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
43157,dissatisfied,Satisfait,Satisfait
84131,satisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
25005,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
43981,dissatisfied,Satisfait,Satisfait
86668,satisfied,Tres satisfait,Satisfait
73509,satisfied,Satisfait,Tres satisfait
27123,satisfied,Peu satisfait,Tres satisfait
68431,dissatisfied,Peu satisfait,Satisfait
117759,satisfied,Peu satisfait,Tres satisfait
89409,satisfied,"Ni satisfait, ni insatisfait",Satisfait
14068,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
45653,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
3327,satisfied,Pas du tout satisfait,Pas du tout satisfait
34355,dissatisfied,Pas du tout satisfait,Satisfait
125495,satisfied,Tres satisfait,Tres satisfait
16957,satisfied,Tres satisfait,Tres satisfait
94492,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
102560,satisfied,Peu satisfait,Satisfait
78610,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
79522,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
92455,satisfied,"Ni satisfait, ni insatisfait",Pas du tout satisfait
6538,dissatisfied,Peu satisfait,Satisfait
128021,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
86357,satisfied,Tres satisfait,Peu satisfait
5120,satisfied,Peu satisfait,Peu satisfait
1975,satisfied,Peu satisfait,Tres satisfait
73377,satisfied,Satisfait,"Ni satisfait, ni insatisfait"
5957,satisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
43040,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
86410,satisfied,Peu satisfait,Tres satisfait
24491,dissatisfied,Pas du tout satisfait,Satisfait
16271,satisfied,Tres satisfait,Satisfait
11982,satisfied,Tres satisfait,Tres satisfait
18851,satisfied,Tres satisfait,Satisfait
18671,satisfied,"Ni satisfait, ni insatisfait",Satisfait
67875,dissatisfied,Pas du tout satisfait,Pas du tout satisfait
106475,dissatisfied,Tres satisfait,Satisfait
99665,satisfied,Satisfait,Satisfait
92790,satisfied,Peu satisfait,Satisfait
83588,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
66373,dissatisfied,"Ni satisfait, ni insatisfait",Pas du tout satisfait
78270,dissatisfied,Tres satisfait,"Ni satisfait, ni insatisfait"
23989,dissatisfied,Satisfait,Satisfait
9681,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
56969,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
118297,satisfied,Pas du tout satisfait,Tres satisfait
45630,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
47871,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
53486,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
98356,satisfied,Pas du tout satisfait,Satisfait
4569,satisfied,Pas du tout satisfait,Peu satisfait
19082,dissatisfied,Satisfait,Tres satisfait
26266,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
14356,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
8705,satisfied,Tres satisfait,Satisfait
129847,dissatisfied,Peu satisfait,Tres satisfait
30920,dissatisfied,Satisfait,Satisfait
72510,dissatisfied,"Ni satisfait, ni insatisfait",Peu satisfait
94943,satisfied,Tres satisfait,Satisfait
39454,satisfied,"Ni satisfait, ni insatisfait",Satisfait
124503,satisfied,Pas du tout satisfait,Tres satisfait
62095,satisfied,Pas du tout satisfait,Satisfait
96406,dissatisfied,Peu satisfait,Peu satisfait
95756,satisfied,Peu satisfait,Satisfait
91847,satisfied,"Ni satisfait, ni insatisfait",Satisfait
103489,satisfied,Satisfait,Satisfait
77544,satisfied,Tres satisfait,Peu satisfait
81839,dissatisfied,Tres satisfait,"Ni satisfait, ni insatisfait"
42607,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
15331,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
32888,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
110005,satisfied,Pas du tout satisfait,Tres satisfait
98645,dissatisfied,Pas du tout satisfait,Satisfait
14043,satisfied,Satisfait,Satisfait
115681,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
9289,dissatisfied,Satisfait,Satisfait
54606,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
66613,dissatisfied,Peu satisfait,Pas du tout satisfait
43299,dissatisfied,Tres satisfait,Tres satisfait
77375,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
110056,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
14225,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
19779,satisfied,Satisfait,Tres satisfait
99579,satisfied,"Ni satisfait, ni insatisfait",Satisfait
46777,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
55649,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
52920,dissatisfied,Peu satisfait,Tres satisfait
81676,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
22554,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
82877,satisfied,Peu satisfait,Tres satisfait
103229,satisfied,Pas du tout satisfait,Satisfait
74746,dissatisfied,Peu satisfait,Peu satisfait
22645,satisfied,Satisfait,Satisfait
78633,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
87238,dissatisfied,"Ni satisfait, ni insatisfait",Satisfait
31754,dissatisfied,Tres satisfait,Tres satisfait
128198,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
90095,satisfied,"Ni satisfait, ni insatisfait",Satisfait
93769,dissatisfied,Tres satisfait,Peu satisfait
109136,satisfied,Satisfait,"Ni satisfait, ni insatisfait"
79697,dissatisfied,"Ni satisfait, ni insatisfait",Pas du tout satisfait
6036,dissatisfied,Pas du tout satisfait,Satisfait
45243,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
47028,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
96157,satisfied,Tres satisfait,Peu satisfait
40896,dissatisfied,Peu satisfait,Tres satisfait
53042,dissatisfied,Peu satisfait,Tres satisfait
18397,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
6771,satisfied,Satisfait,"Ni satisfait, ni insatisfait"
12701,dissatisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
60481,satisfied,Satisfait,Satisfait
116431,satisfied,Satisfait,Tres satisfait
91145,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
6851,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
115139,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
16407,satisfied,Peu satisfait,Satisfait
49164,dissatisfied,Tres satisfait,Tres satisfait
55659,dissatisfied,Satisfait,Tres satisfait
106706,satisfied,Tres satisfait,Satisfait
19549,satisfied,Satisfait,Tres satisfait
36671,dissatisfied,Pas du tout satisfait,Tres satisfait
98984,dissatisfied,Peu satisfait,Satisfait
18855,satisfied,Peu satisfait,Satisfait
15650,satisfied,Tres satisfait,Satisfait
64490,satisfied,Satisfait,Pas du tout satisfait
113120,satisfied,Pas du tout satisfait,Tres satisfait
