Id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
77374,Female,Loyal Customer,25,Business travel,Eco,3317.0,Peu satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Peu satisfait,61.0,33.0,dissatisfied
94704,Female,Loyal Customer,58,Business travel,Business,706.0,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,satisfied
76686,Female,Loyal Customer,39,Business travel,Business,509.0,Satisfait,Satisfait,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,"Ni satisfait, ni insatisfait",37.0,42.0,satisfied
56117,Male,disloyal Customer,29,Business travel,Eco,2002.0,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,dissatisfied
68686,Male,Loyal Customer,38,Business travel,Business,495.0,Pas du tout satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,Satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,Satisfait,0.0,0.0,dissatisfied
117896,Female,Loyal Customer,48,Business travel,Business,2219.0,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,0.0,0.0,satisfied
75760,Female,Loyal Customer,33,Business travel,Business,3452.0,Peu satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,dissatisfied
90208,Female,Loyal Customer,39,Business travel,Business,2206.0,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,Satisfait,Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,0.0,3.0,satisfied
27107,Male,Loyal Customer,52,Personal Travel,Eco,2559.0,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,Tres satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait",20.0,12.0,dissatisfied
87954,Female,Loyal Customer,48,Business travel,Business,305.0,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,0.0,0.0,satisfied
113613,Female,Loyal Customer,46,Business travel,Business,65.0,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,satisfied
64370,Female,Loyal Customer,44,Business travel,Business,243.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Tres satisfait,Satisfait,Satisfait,Peu satisfait,Peu satisfait,Satisfait,Satisfait,Satisfait,0.0,0.0,satisfied
37557,Female,Loyal Customer,55,Personal Travel,Eco,546.0,Satisfait,Tres satisfait,Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Satisfait,Tres satisfait,Satisfait,0.0,22.0,dissatisfied
79303,Male,Loyal Customer,31,Business travel,Business,4631.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Peu satisfait,Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,14.0,11.0,satisfied
123268,Male,Loyal Customer,39,Business travel,Eco,1678.0,Tres satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Pas du tout satisfait,Peu satisfait,Satisfait,Satisfait,Pas du tout satisfait,Tres satisfait,0.0,0.0,satisfied
77069,Female,Loyal Customer,34,Business travel,Eco,2533.0,Peu satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Satisfait,Peu satisfait,Satisfait,Peu satisfait,Satisfait,Peu satisfait,0.0,0.0,dissatisfied
35960,Female,Loyal Customer,48,Personal Travel,Eco,356.0,Satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,4.0,0.0,dissatisfied
97689,Male,Loyal Customer,53,Business travel,Business,1407.0,Pas du tout satisfait,Pas du tout satisfait,Tres satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,satisfied
94283,Male,Loyal Customer,53,Business travel,Business,878.0,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,Satisfait,"Ni satisfait, ni insatisfait",17.0,10.0,dissatisfied
62916,Male,disloyal Customer,60,Business travel,Business,2213.0,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,0.0,35.0,satisfied
122241,Female,Loyal Customer,43,Business travel,Business,759.0,Satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,satisfied
127120,Male,Loyal Customer,53,Business travel,Business,418.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,6.0,18.0,satisfied
75970,Male,Loyal Customer,22,Business travel,Business,3084.0,Satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Peu satisfait,0.0,0.0,satisfied
57824,Female,disloyal Customer,17,Business travel,Eco,1743.0,Satisfait,Peu satisfait,Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,60.0,49.0,dissatisfied
39747,Male,Loyal Customer,44,Personal Travel,Eco,2434.0,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,0.0,0.0,satisfied
109851,Female,Loyal Customer,55,Business travel,Business,386.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,4.0,0.0,satisfied
790,Female,Loyal Customer,30,Personal Travel,Eco,2479.0,Pas du tout satisfait,Tres satisfait,Pas du tout satisfait,Satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Tres satisfait,Tres satisfait,Satisfait,Pas du tout satisfait,61.0,52.0,satisfied
58859,Female,disloyal Customer,23,Business travel,Eco,2736.0,Satisfait,Satisfait,Satisfait,Peu satisfait,Satisfait,Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,0.0,0.0,satisfied
29646,Male,Loyal Customer,13,Personal Travel,Eco,1678.0,"Ni satisfait, ni insatisfait",Tres satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Satisfait,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,Satisfait,Peu satisfait,13.0,4.0,dissatisfied
1042,Female,Loyal Customer,23,Personal Travel,Eco,2444.0,Pas du tout satisfait,Satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Pas du tout satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Peu satisfait,30.0,27.0,satisfied
57957,Female,disloyal Customer,45,Business travel,Business,1460.0,Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Peu satisfait,Pas du tout satisfait,Satisfait,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Tres satisfait,Satisfait,Pas du tout satisfait,25.0,9.0,satisfied
81796,Female,Loyal Customer,30,Business travel,Business,2722.0,"Ni satisfait, ni insatisfait",Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",0.0,0.0,dissatisfied
32311,Female,Loyal Customer,17,Personal Travel,Eco,2164.0,Satisfait,Pas du tout satisfait,Satisfait,Peu satisfait,Tres satisfait,Satisfait,Tres satisfait,Tres satisfait,Satisfait,Pas du tout satisfait,Peu satisfait,Peu satisfait,Pas du tout satisfait,Tres satisfait,6.0,0.0,satisfied
38529,Female,Loyal Customer,18,Personal Travel,Eco Plus,1576.0,Tres satisfait,Pas du tout satisfait,Tres satisfait,Satisfait,Satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,"Ni satisfait, ni insatisfait",Satisfait,0.0,0.0,satisfied
55584,Female,disloyal Customer,27,Business travel,Business,1535.0,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Peu satisfait,Satisfait,Peu satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Peu satisfait,10.0,0.0,dissatisfied
29754,Female,Loyal Customer,49,Personal Travel,Eco Plus,382.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Tres satisfait,0.0,0.0,satisfied
22836,Male,Loyal Customer,50,Personal Travel,Eco Plus,3323.0,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Peu satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Tres satisfait,Pas du tout satisfait,Tres satisfait,Satisfait,Pas du tout satisfait,Tres satisfait,4.0,2.0,dissatisfied
69900,Female,Loyal Customer,41,Business travel,Eco,2057.0,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Pas du tout satisfait,Peu satisfait,Pas du tout satisfait,Pas du tout satisfait,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Pas du tout satisfait,11.0,1.0,dissatisfied
47234,Male,disloyal Customer,23,Business travel,Eco,2647.0,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Peu satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,0.0,0.0,dissatisfied
80684,Female,Loyal Customer,37,Business travel,Business,2990.0,"Ni satisfait, ni insatisfait",Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Peu satisfait,"Ni satisfait, ni insatisfait",Satisfait,13.0,19.0,dissatisfied
43351,Male,disloyal Customer,37,Business travel,Business,2382.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Tres satisfait,Satisfait,Pas du tout satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,2.0,3.0,dissatisfied
98773,Female,Loyal Customer,48,Business travel,Business,4963.0,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,193.0,199.0,satisfied
43252,Male,disloyal Customer,11,Business travel,Eco,1606.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",32.0,34.0,dissatisfied
22322,Male,Loyal Customer,30,Personal Travel,Eco,2215.0,"Ni satisfait, ni insatisfait",Peu satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,0.0,13.0,dissatisfied
70934,Male,Loyal Customer,52,Business travel,Business,2588.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Tres satisfait,88.0,64.0,satisfied
54969,Female,disloyal Customer,33,Business travel,Business,1649.0,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,Pas du tout satisfait,Peu satisfait,Satisfait,Satisfait,Peu satisfait,Satisfait,Pas du tout satisfait,12.0,5.0,dissatisfied
109567,Female,Loyal Customer,60,Business travel,Business,2430.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Tres satisfait,Satisfait,Satisfait,0.0,3.0,satisfied
34463,Male,Loyal Customer,39,Personal Travel,Business,732.0,Satisfait,Satisfait,Satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,Peu satisfait,Peu satisfait,Satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Tres satisfait,0.0,0.0,dissatisfied
115388,Female,Loyal Customer,48,Business travel,Business,3973.0,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Pas du tout satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Peu satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,satisfied
92511,Female,Loyal Customer,40,Business travel,Business,3336.0,Satisfait,Satisfait,Peu satisfait,Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Pas du tout satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,Satisfait,Pas du tout satisfait,0.0,0.0,satisfied
46743,Female,disloyal Customer,66,Business travel,Eco Plus,1114.0,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,0.0,0.0,dissatisfied
9181,Female,Loyal Customer,29,Personal Travel,Business,2032.0,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Pas du tout satisfait,Peu satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait",61.0,44.0,satisfied
46201,Male,disloyal Customer,27,Business travel,Business,1854.0,Peu satisfait,Peu satisfait,Peu satisfait,Pas du tout satisfait,Tres satisfait,Peu satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,0.0,5.0,dissatisfied
3816,Male,Loyal Customer,21,Personal Travel,Eco,2303.0,Pas du tout satisfait,Satisfait,Pas du tout satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait",50.0,39.0,dissatisfied
126917,Female,Loyal Customer,39,Business travel,Business,2691.0,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Satisfait,0.0,0.0,satisfied
84383,Female,Loyal Customer,40,Business travel,Business,1334.0,"Ni satisfait, ni insatisfait",Tres satisfait,Peu satisfait,Peu satisfait,Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",0.0,1.0,dissatisfied
21575,Female,Loyal Customer,65,Personal Travel,Eco,214.0,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,3.0,0.0,satisfied
60189,Male,disloyal Customer,39,Business travel,Business,2361.0,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,0.0,0.0,dissatisfied
109257,Male,Loyal Customer,43,Business travel,Business,3771.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,0.0,0.0,satisfied
60367,Male,disloyal Customer,54,Business travel,Eco,1842.0,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait",Pas du tout satisfait,"Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,Satisfait,0.0,0.0,satisfied
119857,Female,Loyal Customer,42,Business travel,Business,2893.0,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,"Ni satisfait, ni insatisfait",0.0,0.0,satisfied
93753,Male,Loyal Customer,40,Business travel,Business,2915.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Tres satisfait,Pas du tout satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Peu satisfait,0.0,11.0,satisfied
19193,Male,Loyal Customer,63,Personal Travel,Eco,2003.0,Peu satisfait,Tres satisfait,Peu satisfait,Satisfait,Satisfait,Peu satisfait,Tres satisfait,Satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,9.0,14.0,dissatisfied
111942,Female,Loyal Customer,54,Business travel,Business,2305.0,Satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Satisfait,Tres satisfait,Satisfait,Satisfait,Tres satisfait,Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,0.0,0.0,satisfied
87814,Male,Loyal Customer,53,Business travel,Business,698.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",0.0,0.0,satisfied
94397,Male,Loyal Customer,34,Business travel,Business,2241.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Satisfait,Tres satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,Satisfait,0.0,0.0,satisfied
56134,Female,disloyal Customer,59,Business travel,Business,1782.0,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,0.0,0.0,dissatisfied
